id,name,date,latitude,longitude,nodes,links,mutualism,parasitism,predation,bc1,bc2,bc3,bc4,bc5,bc6,bc7,bc8,bc9,bc10,bc11,bc12,bc13,bc14,bc15,bc16,bc17,bc18,bc19,pc1,pc2,pc3,pc4,D
4406,kolpelke_2007_163,1994-08-11T00:00:00.0,47.1,13.466667,4,3,0,3,0,-0.0883541852235794,7.020958423614502,30.882736206054688,589.4955444335938,11.899250030517578,-10.835000038146973,22.734249114990234,7.192500114440918,-6.633416652679443,7.192500114440918,-6.836333274841309,1673.0,194.0,85.0,23.47588348388672,548.0,297.0,548.0,298.0,-0.11865478514726266,-3.4976918416434732,1.1671093668408516,-0.6452575937513161,7.238211606699618
4407,kolpelke_2007_160,1994-08-11T00:00:00.0,47.1,13.583333,12,7,0,7,0,2.333177089691162,8.443937301635742,34.50554275512695,613.9930419921875,15.292750358581543,-9.178500175476074,24.471250534057617,9.898916244506836,-4.339041709899902,9.898916244506836,-4.904958248138428,1555.0,190.0,74.0,28.069664001464844,537.0,258.0,537.0,259.0,-0.3031200452321408,-2.18877477044817,1.390245832093373,-0.6592213941010826,6.581356023068761
4408,kolpelke_2007_443,2002-08-06T00:00:00.0,47.0,12.633333,6,4,0,4,0,2.6844375133514404,7.889000415802002,32.00665283203125,638.0924072265625,15.819000244140625,-8.829000473022461,24.648000717163086,10.540541648864746,-4.912291526794434,10.540541648864746,-4.912291526794434,1216.0,158.0,60.0,32.11222457885742,444.0,193.0,444.0,193.0,0.47390301720046873,-1.2819709562166979,0.6230478437006943,-0.8408203770116871,4.70996533604553
4409,kolpelke_2007_444,2002-08-08T00:00:00.0,47.0,12.633333,3,2,0,2,0,2.6844375133514404,7.889000415802002,32.00665283203125,638.0924072265625,15.819000244140625,-8.829000473022461,24.648000717163086,10.540541648864746,-4.912291526794434,10.540541648864746,-4.912291526794434,1216.0,158.0,60.0,32.11222457885742,444.0,193.0,444.0,193.0,0.47390301720046873,-1.2819709562166979,0.6230478437006943,-0.8408203770116871,4.70996533604553
4410,kolpelke_2007_490,1983-07-06T00:00:00.0,47.15,11.766667,5,4,0,4,0,1.3607499599456787,6.747125148773193,29.19095802307129,615.9678955078125,13.839750289916992,-9.27400016784668,23.113750457763672,8.934791564941406,-5.846291542053223,8.934791564941406,-5.846291542053223,1200.0,153.0,62.0,30.054920196533203,433.0,201.0,433.0,201.0,0.7136763800280236,-1.880580323670952,0.1991177810597516,-0.9071254156096676,4.973396698635735
4411,kolpelke_2007_491,1983-08-21T00:00:00.0,47.15,11.766667,9,6,0,6,0,1.3607499599456787,6.747125148773193,29.19095802307129,615.9678955078125,13.839750289916992,-9.27400016784668,23.113750457763672,8.934791564941406,-5.846291542053223,8.934791564941406,-5.846291542053223,1200.0,153.0,62.0,30.054920196533203,433.0,201.0,433.0,201.0,0.7136763800280236,-1.880580323670952,0.1991177810597516,-0.9071254156096676,4.973396698635735
4412,kolpelke_2007_530,1984-08-22T00:00:00.0,47.15,11.766667,8,6,0,6,0,1.3607499599456787,6.747125148773193,29.19095802307129,615.9678955078125,13.839750289916992,-9.27400016784668,23.113750457763672,8.934791564941406,-5.846291542053223,8.934791564941406,-5.846291542053223,1200.0,153.0,62.0,30.054920196533203,433.0,201.0,433.0,201.0,0.7136763800280236,-1.880580323670952,0.1991177810597516,-0.9071254156096676,4.973396698635735
4413,kolpelke_2007_4,1987-07-22T00:00:00.0,47.15,11.766667,6,4,0,4,0,1.3607499599456787,6.747125148773193,29.19095802307129,615.9678955078125,13.839750289916992,-9.27400016784668,23.113750457763672,8.934791564941406,-5.846291542053223,8.934791564941406,-5.846291542053223,1200.0,153.0,62.0,30.054920196533203,433.0,201.0,433.0,201.0,0.7136763800280236,-1.880580323670952,0.1991177810597516,-0.9071254156096676,4.973396698635735
4414,kolpelke_2007_83,1989-06-30T00:00:00.0,47.15,11.766667,3,2,0,2,0,1.3607499599456787,6.747125148773193,29.19095802307129,615.9678955078125,13.839750289916992,-9.27400016784668,23.113750457763672,8.934791564941406,-5.846291542053223,8.934791564941406,-5.846291542053223,1200.0,153.0,62.0,30.054920196533203,433.0,201.0,433.0,201.0,0.7136763800280236,-1.880580323670952,0.1991177810597516,-0.9071254156096676,4.973396698635735
4415,kolpelke_2007_92,1989-08-13T00:00:00.0,47.15,11.766667,5,4,0,4,0,1.3607499599456787,6.747125148773193,29.19095802307129,615.9678955078125,13.839750289916992,-9.27400016784668,23.113750457763672,8.934791564941406,-5.846291542053223,8.934791564941406,-5.846291542053223,1200.0,153.0,62.0,30.054920196533203,433.0,201.0,433.0,201.0,0.7136763800280236,-1.880580323670952,0.1991177810597516,-0.9071254156096676,4.973396698635735
4416,kolpelke_2007_489,1983-07-06T00:00:00.0,47.16667,11.733333,6,5,0,5,0,3.3818750381469727,7.2564167976379395,30.23192024230957,631.0084228515625,16.36574935913086,-7.636750221252441,24.002498626708984,11.153291702270508,-4.0842084884643555,11.153291702270508,-4.0842084884643555,1214.0,161.0,59.0,33.81592559814453,456.0,195.0,456.0,195.0,0.27464823476593664,-1.2564476433735374,0.46877495293169336,-0.9281594422360305,4.279349352570019
